,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_tax_rate
158,United Republic of Tanzania,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
159,Uganda,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
88,Kenya,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
82,Italy,31.4,31.4,31.4,31.4,31.29275,31.29275,31.29275,31.29275,31.29275,27.8064,27.8064,27.8064,27.81,27.81,27.81,29.92753
132,Portugal,26.5,26.5,26.5,28.5,31.5,31.5,31.5,29.5,29.5,29.5,31.5,31.5,31.5,31.5,31.5,29.9
67,Greenland,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.8,31.8,31.8,31.8,26.5,26.5,26.5,29.780000000000005
107,Mexico,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.733333333333334
127,Peru,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,29.5,29.5,29.5,29.5,29.5,29.5,29.666666666666668
128,Philippines,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,29.666666666666668
66,Grenada,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,29.466666666666665
96,Sri Lanka,35.0,35.0,35.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,24.0,24.0,28.866666666666667
143,El Salvador,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.666666666666668
71,Honduras,30.0,30.0,25.0,35.0,35.0,35.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,28.666666666666668
149,Swaziland,30.0,30.0,30.0,30.0,30.0,30.0,27.5,27.5,27.5,27.5,28.0,27.5,27.5,27.5,27.5,28.533333333333335
123,New Zealand,30.0,30.0,30.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.4
141,Senegal,25.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.333333333333332
151,Syrian Arab Republic,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
